No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Jumps,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,,,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,Unibet,Bet Goodwin,Bet Victor,10 Bet
Epsom,Epsom,17:50,Sporting Times Sri Lanka Apprentice Handicap,Class 5,10,"£4,449",Good,Turf,,6,1,Carnival Day,4,Luke Catton,Jim Boyle,5,137,3.75,,3.75,3.5,3.25,3.25,3.5,3.25,3.25,3.25,3.25,SP
6,Epsom,17:50,Sporting Times Sri Lanka Apprentice Handicap,Class 5,10,"£4,449",Good,Turf,,6,2,His Finest Hour,4,Kaiya Fraser,Ian Williams,2,136,3.75,,3.75,3.5,3,3.25,3.25,3.25,3.13,3.25,3.25,SP
Goodwood,Epsom,17:50,Sporting Times Sri Lanka Apprentice Handicap,Class 5,10,"£4,449",Good,Turf,,6,3,Bearaway,7,Alfie Redman(7),Laura Mongan,1,135,11,,10,11,10,10,10,9.5,10,10,10,SP
8,Epsom,17:50,Sporting Times Sri Lanka Apprentice Handicap,Class 5,10,"£4,449",Good,Turf,,6,4,Risen Again,4,Christian Howarth,Alice Haynes,6,133,5,,5,5,5,5,5,5,4.5,5,5,SP
Nottingham,Epsom,17:50,Sporting Times Sri Lanka Apprentice Handicap,Class 5,10,"£4,449",Good,Turf,,6,5,Brodie's Boy,4,Matthew Lloyd Slater(7),Tony Carroll,4,132,12,,12,12,12,12,12,12,12,12,12,SP
6,Epsom,17:50,Sporting Times Sri Lanka Apprentice Handicap,Class 5,10,"£4,449",Good,Turf,,6,6,Etretat,4,Archie Young(3),Charlie Johnston,3,130,5,,4,5,4.5,4.5,4.5,4.5,4.33,4.5,4.5,SP
Wolverhampton (AW),Epsom,18:25,Sporting Times Sri Lanka EBF Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 4,7,"£5,400",Good,Turf,,6,1,Hengroin,2,Jason Watson,Owen Burrows,6,133,2,,2,2,1.91,1.91,1.91,1.91,1.83,1.91,1.91,SP
7,Epsom,18:25,Sporting Times Sri Lanka EBF Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 4,7,"£5,400",Good,Turf,,6,2,Mamba Rocket,2,Marco Ghiani,Marco Botti,2,133,23,,23,17,15,15,15,15,15,15,15,SP
Galway,Epsom,18:25,Sporting Times Sri Lanka EBF Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 4,7,"£5,400",Good,Turf,,6,3,Norfolk Blue,2,Brandon Wilkie(3),William Knight,4,133,2.63,,2.5,2.63,2.5,2.5,2.5,2.5,2.38,2.5,2.5,SP
8,Epsom,18:25,Sporting Times Sri Lanka EBF Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 4,7,"£5,400",Good,Turf,,6,4,Champagne Dream,2,Kyle Strydom,Dylan Cunha,3,131,15,,15,13,13,13,13,13,13,13,13,SP
