No. Race / Course,Course,Date,Time,Race Name,Class,Distance (f),Going,Surface,Number,Horse,Position,Decimal Odds,Draw,Jockey,Trainer,Weight (lbs),Beaten By,Comments
Exeter,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,4,Harry Lowes (IRE),1,1.5,,Harry Skelton,Dan Skelton,154,0,Travelled strongly - held up in rear - steady headway from 3rd - went third after 3 out - led approaching last - soon clear - easily(tchd 2/5)
5,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,1,Kapitein Kool (IRE),2,13,,James Best,Seamus Mullins,161,2,Midfield - headway before 3 out - led narrowly or disputed lead before 2 out - headed approaching last - kept on but no match for winner(op 10/1)
Leicester,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,2,Aguellid (FR),3,10,,Sean Houlihan,Philip Hobbs & Johnson White,154,0.5,Took keen hold - held up in last - steady headway before 3 out - went fourth but mistake last - went third run-in - kept on(op 11/2 tchd 5/1)
5,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,5,Kado Sacree (FR),4,7,,Sean Bowen,Olly Murphy,154,2,Midfield - headway before 3 out - went fourth 2 out - kept on(op 11/1)
Navan (IRE),Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,8,Sea Warrior (IRE),5,7,,Brendan Powell,Joe Tizzard,154,0.75,In touch with leaders - headway 4th - soon prominent - led narrowly or disputed lead after 3 out - headed after 2 out - weakened run-in
7,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,6,No Panic (GB),6,41,,Lorcan Williams,Jeremy Scott,154,11,Prominent - weakened approaching last(op 33/1)
Newcastle (AW),Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,11,Tractor Jack (GB),7,51,,Freddie Gingell,Joe Tizzard,154,2,Raced in second - left in lead 2nd - pressed leader when headed after 5th - led before 3 out - headed before 2 out - weakened after last(op 100/1 and tchd 125/1)
1,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,3,Hannibal Bogan (GB),8,401,,Charlie Deutsch,Jimmy Frost,154,10,Held up in rear - headway into midfield 4th - raced wide home turn - weakened after 3 out(op 250/1)
Plumpton,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,9,The Italian Fox (IRE),9,41,,Jonjo O'Neill Jr,Joe Tizzard,154,0.5,Prominent but ran green - pushed along before 2nd - lost position 3rd - in rear 5th - weakened after 3 out(op 66/1 tchd 33/1 and tchd 125/1)
6,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,12,Walk In The West (IRE),10,29,,Jonathan Burke,Anthony Honeyball,154,4.5,Held up in rear - weakened after 3 out
,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,10,Tobi Kanobee (IRE),11,251,,Ciaran Gethings,Claire Hitch,154,7.5,Led - headed after 1st - led after 5th - headed before 3 out - soon weakened(op 200/1 tchd 300/1)
,Exeter,2025-11-17,1:30,Pewsham London Road Exeter Novices' Hurdle (GBB Race),Class 4,16.5f,Good To Soft,Turf,7,Raging Al (IRE),UR,67,,Dylan Johnston,Tim Vaughan,151,-,Pulled hard - held up in rear - headway to lead after 1st - ducked sharply left and unseated 2nd(tchd 100/1)
,Exeter,2025-11-17,2:00,"Royal Oak Heavitree ""Chasing Excellence"" Beginners' Chase (GBB Race)",Class 3,17.5f,Good To Soft,Turf,5,Lulamba (FR),1,1.4,,Nico de Boinville,Nicky Henderson,150,0,Prominent - led 4 out - soon clear - easily(op 1/3 tchd 2/7)
,Exeter,2025-11-17,2:00,"Royal Oak Heavitree ""Chasing Excellence"" Beginners' Chase (GBB Race)",Class 3,17.5f,Good To Soft,Turf,1,Fingle Bridge (IRE),2,8,,Sean Bowen,Olly Murphy,158,10,Raced in fourth - mistake 3rd - hit 4th - outpaced home turn - headway from 2 out - kept on well run-in - went second final strides - no match for winner(op 9/1 tchd 6/1 and tchd 10/1)
,Exeter,2025-11-17,2:00,"Royal Oak Heavitree ""Chasing Excellence"" Beginners' Chase (GBB Race)",Class 3,17.5f,Good To Soft,Turf,3,Salver (FR),3,8.5,,Caoilin Quinn,Gary & Josh Moore,158,0.5,Pressed leader - lost second 4 out - went second again 3 out - kept on but lost second final strides(op 13/2 tchd 8/1)
,Exeter,2025-11-17,2:00,"Royal Oak Heavitree ""Chasing Excellence"" Beginners' Chase (GBB Race)",Class 3,17.5f,Good To Soft,Turf,4,Tripoli Flyer (IRE),4,7,,Jonathan Burke,Fergal O'Brien,158,9,Led - stumbled badly when headed 4 out - weakening when lost third approaching last(op 9/1 and tchd 10/1)
,Exeter,2025-11-17,2:00,"Royal Oak Heavitree ""Chasing Excellence"" Beginners' Chase (GBB Race)",Class 3,17.5f,Good To Soft,Turf,2,Largy Belter (IRE),5,126,,Harry Skelton,Dan Skelton,158,10,Held up in rear - outpaced home turn - weakened 2 out(op 50/1 tchd 150/1)
,Exeter,2025-11-17,2:30,Globe Inn Chudleigh Mares' Novices' Hurdle (GBB Race),Class 4,18.5f,Good To Soft,Turf,5,Supreme Malinas (IRE),1,1.8,,Harry Skelton,Dan Skelton,154,0,Raced in second - led 3 out - edged right and ridden after 2 out - kept on well(op Evens tchd 8/11 and tchd 11/10)
,Exeter,2025-11-17,2:30,Globe Inn Chudleigh Mares' Novices' Hurdle (GBB Race),Class 4,18.5f,Good To Soft,Turf,1,A Path To Ronda (IRE),2,2.1,,Gavin Sheehan,Jamie Snowden,161,4,Jumped slightly right throughout - led - ridden when headed 3 out - switched left after 2 out - kept on(op 10/11 tchd 5/6)
,Exeter,2025-11-17,2:30,Globe Inn Chudleigh Mares' Novices' Hurdle (GBB Race),Class 4,18.5f,Good To Soft,Turf,6,Merely A Detail (GB),3,15,,Jonathan Burke,Toby Bulgin,153,10,Took keen hold - prominent - pecked on landing 3 out - outpaced from 2 out(op 11/1 tchd 18/1)
,Exeter,2025-11-17,2:30,Globe Inn Chudleigh Mares' Novices' Hurdle (GBB Race),Class 4,18.5f,Good To Soft,Turf,3,Dawn's Desire (IRE),4,251,,Harry Kimber,Robert Walford,154,40,Prominent - dropped to last and struggling omitted 7th - outpaced before 3 out - went modest fourth final strides - tailed off(op 200/1 tchd 300/1)
,Exeter,2025-11-17,2:30,Globe Inn Chudleigh Mares' Novices' Hurdle (GBB Race),Class 4,18.5f,Good To Soft,Turf,4,Freddiemissmolli (IRE),5,101,,Dylan Johnston,Debra Hamer,151,0.5,Held up in last - went fourth omitted 7th - outpaced before 3 out - weakened 2 out - tailed off(op 50/1 tchd 150/1)
,Exeter,2025-11-17,3:00,Sandygate Inn Kingsteignton Handicap Chase (GBB Race),Class 3,19f,Good To Soft,Turf,6,U Cant Be Serious (IRE),1,5,,Freddie Gingell,Joe Tizzard,157,0,Jumped slightly right throughout - prominent - led 3 out - soon ridden and headed - rallied after 2 out - not fluent last - led run-in - kept on well(op 6/1)
,Exeter,2025-11-17,3:00,Sandygate Inn Kingsteignton Handicap Chase (GBB Race),Class 3,19f,Good To Soft,Turf,8,Barlovento (IRE),2,9.5,,Sean Bowen,Olly Murphy,155,0.5,Held up in rear - headway before 4 out - led after 3 out - headed run-in - kept on(op 8/1 tchd 9/1)
,Exeter,2025-11-17,3:00,Sandygate Inn Kingsteignton Handicap Chase (GBB Race),Class 3,19f,Good To Soft,Turf,7,Rivers Corner (GB),3,11,,Brendan Powell,Joe Tizzard,156,4.25,Led - pressed leader when headed 7th - lost two places after 4 out - went third 2 out - stayed on(op 11/1 tchd 9/1 and tchd 12/1)
,Exeter,2025-11-17,3:00,Sandygate Inn Kingsteignton Handicap Chase (GBB Race),Class 3,19f,Good To Soft,Turf,3,Denemethy (IRE),4,17,,Jonathan Burke,Fergal O'Brien,161,16,Pressed leader - led 7th - headed after 4 out - weakened after 2 out(op 18/1 tchd 14/1)
,Exeter,2025-11-17,3:00,Sandygate Inn Kingsteignton Handicap Chase (GBB Race),Class 3,19f,Good To Soft,Turf,4,Pony Soprano (IRE),5,4.2,,Harry Skelton,Dan Skelton,159,0.3,Midfield - went fourth 6th - mistake 7th - soon dropped to midfield - in touch with leaders when not fluent 4 out - weakened after 2 out(op 5/1 tchd 3/1)
,Exeter,2025-11-17,3:00,Sandygate Inn Kingsteignton Handicap Chase (GBB Race),Class 3,19f,Good To Soft,Turf,1,Reallyntruthfully (IRE),6,6,,Ciaran Gethings,Kim Bailey & Mat Nicholls,168,2.25,Prominent - hit 2nd - jumped right 4th - weakened 2 out(op 9/2)
,Exeter,2025-11-17,3:00,Sandygate Inn Kingsteignton Handicap Chase (GBB Race),Class 3,19f,Good To Soft,Turf,2,That's Nice (IRE),7,6,,Nico de Boinville,Nicky Henderson,164,6.5,Prominent early - midfield after 4th - outpaced when jumped left 4 out - weakened 2 out(op 5/2 tchd 11/2)
,Exeter,2025-11-17,3:00,Sandygate Inn Kingsteignton Handicap Chase (GBB Race),Class 3,19f,Good To Soft,Turf,5,Tom Doniphon (FR),8,9.5,,Sean Houlihan,Philip Hobbs & Johnson White,158,0.3,In touch with leaders - weakened after 3 out(op 9/1 tchd 7/1)
,Exeter,2025-11-17,3:00,Sandygate Inn Kingsteignton Handicap Chase (GBB Race),Class 3,19f,Good To Soft,Turf,9,Lemoncello (FR),F,19,,Charlie Deutsch,Venetia Williams,152,-,Held up in rear - mistake 6th - some headway when fell 3 out(tchd 20/1)
,Exeter,2025-11-17,3:30,Heart Of Oak Exeter Novices' Handicap Chase,Class 5,24f,Good To Soft,Turf,4,Special John (IRE),1,2,,Dylan Johnston,Sam Thomas,158,0,(tchd 11/10)
,Exeter,2025-11-17,3:30,Heart Of Oak Exeter Novices' Handicap Chase,Class 5,24f,Good To Soft,Turf,7,Fat Faced Columbo (IRE),2,10,,James Best,Richard Mitford-Slade,152,0.1,(op 10/1 tchd 8/1)
,Exeter,2025-11-17,3:30,Heart Of Oak Exeter Novices' Handicap Chase,Class 5,24f,Good To Soft,Turf,1,Mythe Bridge (GB),3,7,,Stan Sheppard,Henry Daly,168,8,(op 13/2)
,Exeter,2025-11-17,3:30,Heart Of Oak Exeter Novices' Handicap Chase,Class 5,24f,Good To Soft,Turf,3,Hill Of Tara (GB),4,13,,Charlie Deutsch,Venetia Williams,167,6.5,(op 16/1 and tchd 20/1)
,Exeter,2025-11-17,3:30,Heart Of Oak Exeter Novices' Handicap Chase,Class 5,24f,Good To Soft,Turf,2,Move With The Beat (IRE),5,11,,Joe Anderson,Jamie Snowden,164,0.75,(op 7/1 tchd 13/2)
,Exeter,2025-11-17,3:30,Heart Of Oak Exeter Novices' Handicap Chase,Class 5,24f,Good To Soft,Turf,5,Lough Owel (IRE),6,19,,Rian Corcoran,D Summersby,150,25,(op 16/1 tchd 14/1)
,Exeter,2025-11-17,3:30,Heart Of Oak Exeter Novices' Handicap Chase,Class 5,24f,Good To Soft,Turf,9,Moonlight Artist (GB),7,8,,Brendan Powell,Joe Tizzard,145,14,(op 13/2)
,Exeter,2025-11-17,3:30,Heart Of Oak Exeter Novices' Handicap Chase,Class 5,24f,Good To Soft,Turf,8,Universal Secret (IRE),PU,34,,Harry Reed,Helen Nelmes,148,-,(op 40/1)
,Exeter,2025-11-17,3:30,Heart Of Oak Exeter Novices' Handicap Chase,Class 5,24f,Good To Soft,Turf,6,Tuscan Rose (IRE),PU,17,,Sean Bowen,Neil Mulholland,154,-,(tchd 20/1)
