No. Race / Course,Course,Date,Time,Race Name,Class,Distance (f),Going,Surface,Number,Horse,age,Position,Decimal Odds,Draw,Jockey,Trainer,Weight (lbs),Beaten By,,,
Dundalk (AW) (IRE),Dundalk (AW) (IRE),2025-11-19,1:45,Irish Stallion Farms EBF Maiden,,7f,Standard,AW,4,Seoul Force (IRE),2,1,3.75,8,Shane Foley,Mrs John Harrington,133,0,Made virtually all - ridden over 1f out - kept on well(op 9/4),01:28.2,https://www.rp-assets.com/svg/f/9/3/205339f.svg
8,Dundalk (AW) (IRE),2025-11-19,1:45,Irish Stallion Farms EBF Maiden,,7f,Standard,AW,7,Watch Tower (IRE),2,2,2.75,7,Colin Keane,G M Lyons,133,0.3,Prominent - switched left and challenging over 1f out - kept on inside final furlong(op 6/4),01:28.3,https://www.rp-assets.com/svg/b/8/9/277198b.svg
Ffos Las,Dundalk (AW) (IRE),2025-11-19,1:45,Irish Stallion Farms EBF Maiden,,7f,Standard,AW,9,What About Us (GB),2,3,2.38,9,J M Sheridan,Joseph Patrick O'Brien,128,0.5,Pressed leader - no extra inside final 110yds(op 13/8 tchd 7/4),01:28.4,https://www.rp-assets.com/svg/4/2/9/363924.svg
6,Dundalk (AW) (IRE),2025-11-19,1:45,Irish Stallion Farms EBF Maiden,,7f,Standard,AW,6,Thirsty Owl (IRE),2,4,12,5,Robert Whearty,Gavin Cromwell,133,1.5,Midfield - headway over 1f out - ran on inside final furlong - nearest finish(op 14/1),01:28.6,https://www.rp-assets.com/svg/3/1/6/364613.svg
Kempton (AW),Dundalk (AW) (IRE),2025-11-19,1:45,Irish Stallion Farms EBF Maiden,,7f,Standard,AW,2,Cosmic Motion (IRE),2,5,51,6,James Ryan,G M Lyons,133,0.5,In touch with leaders - headway over 1f out - weakened inside final furlong(op 40/1),01:28.7,https://www.rp-assets.com/svg/d/1/8/124681d.svg
9,Dundalk (AW) (IRE),2025-11-19,1:45,Irish Stallion Farms EBF Maiden,,7f,Standard,AW,5,Tariff (IRE),2,6,101,3,Adam Caffrey,Adrian McGuinness,133,9,Dwelt start - took keen hold - towards rear - some headway over 2f out - soon weakened(op 66/1),01:30.2,https://www.rp-assets.com/svg/7/0/8/196807.svg
Warwick,Dundalk (AW) (IRE),2025-11-19,1:45,Irish Stallion Farms EBF Maiden,,7f,Standard,AW,3,Grey Sands (IRE),2,7,126,2,Declan McDonogh,Joseph Patrick O'Brien,133,12,Never better than midfield(op 100/1),01:32.2,https://www.rp-assets.com/svg/0/5/8/325850.svg
6,Dundalk (AW) (IRE),2025-11-19,1:45,Irish Stallion Farms EBF Maiden,,7f,Standard,AW,1,Augusta Rock (IRE),2,8,126,1,Scott McCullagh,Joseph Patrick O'Brien,133,7.5,Dwelt start - always behind(op 66/1),01:33.5,https://www.rp-assets.com/svg/d/9/5/31159d.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,4,Fleetfootsoldier (IRE),5,1,5.5,9,J M Sheridan,Denis Gerard Hogan,137,0,In touch with leaders - headway 2f out - soon ridden - slightly hampered inside final furlong - kept on and led towards finish(op 6/1),01:27.3,https://www.rp-assets.com/svg/2/9/0/254092.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,5,Una Matata (IRE),4,2,4,8,Adam Caffrey,Adrian McGuinness,136,0.5,Awkward start - took keen hold - in touch with leaders - headway over 2f out - led inside final furlong - soon edged right - headed towards finish(op 10/3 tchd 7/2),01:27.3,https://www.rp-assets.com/svg/b/4/1/364614b.svg
