No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Silk,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,ORI,Best,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,,,RESULT,SP odd,,Form,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caulfield,Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/2/9/4/361492.svg,11,1,Mr Brightside,8,Craig A Williams,"Ben, Will & JD Hayes",9,130,N/A,,,,,,,,1-2120,,,,,,,,Craig A Williams,1,19:45 | Caulfield | Mr Brightside,,,,,,,,,,,"Ben, Will & JD Hayes",2,19:45 | Caulfield | Mr Brightside,19:45 | Caulfield | Here To Shock,,,,,,,,,
1,Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/5/4/8/49845.svg,11,2,Tom Kitten,5,Ben Melham,Anthony & Sam Freedman,4,130,N/A,,,,,,,,-21573,,,,,,,,Ben Melham,1,19:45 | Caulfield | Tom Kitten,,,,,,,,,,,Anthony & Sam Freedman,1,19:45 | Caulfield | Tom Kitten,,,,,,,,,,
Deauville,Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/9/4/8/335849.svg,11,3,Antino,7,Blake Shinn,Tony Gollan,8,130,N/A,,,,,,,,20-011,,,,,,,,Blake Shinn,1,19:45 | Caulfield | Antino,,,,,,,,,,,Tony Gollan,1,19:45 | Caulfield | Antino,,,,,,,,,,
3,Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/7/6/3/298367.svg,11,4,Here To Shock,8,Daniel Stackhouse,"Ben, Will & JD Hayes",6,130,N/A,,,,,,,,01-123,,,,,,,,Daniel Stackhouse,1,19:45 | Caulfield | Here To Shock,,,,,,,,,,,Chris Waller,2,19:45 | Caulfield | Buckaroo,19:45 | Caulfield | Fangirl,,,,,,,,,
Beverley,Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/6/2/3/336326.svg,11,5,Buckaroo,6,Jye McNeil,Chris Waller,7,130,N/A,,,,,,,,29-970,,,,,,,,Jye McNeil,1,19:45 | Caulfield | Buckaroo,,,,,,,,,,,Ciaron Maher,2,19:45 | Caulfield | Another Wil,19:45 | Caulfield | Zardozi,,,,,,,,,
7,Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/9/3/6/287639.svg,11,6,Another Wil,6,Jamie Melham,Ciaron Maher,3,130,N/A,,,,,,,,12-146,,,,,,,,Jamie Melham,1,19:45 | Caulfield | Another Wil,,,,,,,,,,,Enver Jusufovic,1,19:45 | Caulfield | Pinstriped,,,,,,,,,,
Chelmsford (AW),Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/4/2/2/314224.svg,11,7,Pinstriped,7,Michael Dee,Enver Jusufovic,11,130,N/A,,,,,,,,76-977,,,,,,,,Michael Dee,1,19:45 | Caulfield | Pinstriped,,,,,,,,,,,Daniel Bowman,1,19:45 | Caulfield | Is It Me,,,,,,,,,,
7,Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/1/0/3/345301.svg,11,8,Is It Me,6,Billy Egan,Daniel Bowman,2,130,N/A,,,,,,,,6-1114,,,,,,,,Billy Egan,1,19:45 | Caulfield | Is It Me,,,,,,,,,,,Matt Laurie,1,19:45 | Caulfield | Treasurethe Moment,,,,,,,,,,
Chester,Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/5/5/8/191855.svg,11,9,Fangirl,7,Mark Zahra,Chris Waller,5,126,N/A,,,,,,,,3-1221,,,,,,,,Mark Zahra,1,19:45 | Caulfield | Fangirl,,,,,,,,,,,F-H Graffard,1,16:52 | Deauville | Sibayan,,,,,,,,,,
7,Caulfield,19:45,Stow Storage Memsie Stakes (Group 1) (3yo+) (Turf),Class 1,7,"£222,772",Good,Turf,https://www.rp-assets.com/svg/5/4/8/49845.svg,11,10,Zardozi,5,Ethan Brown,Ciaron Maher,10,126,N/A,,,,,,,,-83230,,,,,,,,Ethan Brown,1,19:45 | Caulfield | Zardozi,,,,,,,,,,,A Fabre,3,16:52 | Deauville | Casapueblo,16:52 | Deauville | Marquisat,17:27 | Deauville | Vertbois,,,,,,,,
