Horse Name,Date,Course,Class,Type,Prize,Winner Prize,Dist (f),Going,Weight,Position,Runner Count,Runners,this Ovr Btn,1ST,2ND,2ND LOSE BY,WR Wgt,WR SP,This SP,Number,Draw,Age,Jockey,Trainer,OR,RPR,TSR,Silk URL,Comment,Time,Winning Time Detail,Race ID
The Bellhop,10/31/2025,Wetherby,Class 1,Hurdle,2132,22780,16f,Good,11 st 0 lb,4,8,"Minella Study (GB), Ammes (IRE), Tralee Girl (IRE), The Bellhop (IRE), Enziya (IRE), Faire La Nouba (IRE), Genbu (GB), Shooting (FR)",11.75,Minella Study (GB) 11 st 0 lb,Ammes 11 st 0 lb,0.75,11 st 0 lb,9,4.33,7,,3,Caoilin Quinn,Gary & Josh Moore,–,106,82,https://www.rp-assets.com/svg/5/7/6/351675.svg,In touch with leaders - went third 3 out - lost position and not fluent last - weakened run-in(op 4/1 tchd 9/2),03:51.3,3m 48.93s (slow by 6.93s),rac_11757746
,10/3/2025,Fontwell,Class 4,Hurdle,4193.42,4193.42,17.5f,Good,11 st 0 lb,1,7,"The Bellhop (IRE), Manyana Blue (GB), Bouboule (GB), Flagon Dry (IRE), Spuddling (GB), Yellow Card (GB), Banksman (GB)",0,The Bellhop 11 st 0 lb,Manyana Blue (GB) 10 st 11 lb,11,11 st 0 lb,4.33,4.33,6,,3,Caoilin Quinn,Gary & Josh Moore,–,106,99,https://www.rp-assets.com/svg/5/7/6/351675.svg,Held up in rear - headway after 6th - jockey dropped whip but went second after 2 out - led last - went clear run-in - comfortably(op 5/2 tchd 4/1),04:21.7,4m 21.70s (slow by 10.20s),rac_11732968
,9/17/2025,Sandown,Class 4,Flat,,6019.1,10f,Soft,9 st 1 lb,6,9,"Atherstone Warrior (IRE), Sir William (IRE), Dancing Tiger (IRE), Perfect Scoundrel (GB), Jonnie (GB), The Bellhop (IRE), Advancing (GB), Big Sip (GB), Mahogany Bay (IRE)",16.25,Atherstone Warrior 9 st 4 lb,Sir William 9 st 8 lb,5.5,9 st 4 lb,4,13,6,5,3,Rob Hornby,Gary & Josh Moore,72,56,40,https://www.rp-assets.com/svg/b/5/7/351675b.svg,Dwelt start - always behind(op 16/1),02:18.0,2m 14.73s (slow by 7.73s),rac_11720761
,8/20/2025,Kempton (AW),Class 4,Flat,,5940,12f,Standard To Slow,9 st 0 lb,5,9,"Finalise (GB), Gnomon (GB), Shrimp Shady (GB), Phoenix Sunrise (GB), The Bellhop (IRE), Rogue Empire (GB), Risky Spin (GB), Shifra (IRE), Triggernometry (GB)",18,Finalise (GB) 8 st 13 lb,Gnomon (GB) 9 st 13 lb,12,8 st 13 lb,2.38,9.5,7,7,3,Daniel Muscutt,Gary & Josh Moore,75,61,55,https://www.rp-assets.com/svg/b/5/7/351675b.svg,Towards rear early - in touch with leaders after 2f - pushed along over 4f out - outpaced from 3f out(op 11/1),02:36.3,2m 32.72s (slow by 0.82s),rac_11701287
,7/22/2025,Lingfield,Class 4,Flat,1293.36,5508,11.5f,Good,9 st 4 lb,3,7,"Gran Descans (GB), Gnomon (GB), The Bellhop (IRE), Rogue Empire (GB), Potters Marmite (GB), Captain Robert (GB), Port George (GB)",3.25,Gran Descans (GB) 9 st 11 lb,Gnomon (GB) 10 st 1 lb,2.25,9 st 11 lb,1.2,12,7,8,3,Tom Queally,Gary & Josh Moore,–,69,46,https://www.rp-assets.com/svg/b/5/7/351675b.svg,Sweating - prominent - lost second when no extra inside final 110yds(op 10/1 tchd 9/1),02:35.4,2m 34.83s (slow by 8.33s),rac_11677159
,7/9/2025,Kempton (AW),Class 2,Flat,,20616,11f,Standard To Slow,9 st 4 lb,8,12,"Skimmer (GB), Sea Of Kings (IRE), Peaky Blinder (GER), Crown Imperial (GB), Ivatt (GB), Ashdown Forest (IRE), Gnomon (GB), The Bellhop (IRE), Ettore (IRE), Big Win (FR), Scotland (FR), Mystical Mabel (IRE)",11.25,Skimmer (GB) 9 st 10 lb,Sea Of Kings 9 st 4 lb,1.5,9 st 10 lb,2.2,51,13,9,3,Harry Davies,Gary & Josh Moore,–,68,44,https://www.rp-assets.com/svg/b/5/7/351675b.svg,Held up in rear - some headway from over 1f out,02:23.6,2m 21.34s (slow by 3.44s),rac_11668254
,6/14/2025,Sandown,Class 2,Flat,1208,20616,10f,Good To Firm,9 st 3 lb,5,12,"Wave Rider (GB), Respond (IRE), Hinchinbrooke (GB), Desert Heart (GB), The Bellhop (IRE), Perfect Scoundrel (GB), Klassleader (GB), Lancashire (FR), Gran Descans (GB), Newtown Duke (IRE), Ettore (IRE), Lola Moon (GB)",5.25,Wave Rider (GB) 9 st 3 lb,Respond 9 st 3 lb,3,9 st 3 lb,3.25,67,15,11,3,Daniel Muscutt,Gary & Josh Moore,–,75,59,https://www.rp-assets.com/svg/b/5/7/351675b.svg,Slowly away - ran green - in rear - headway on inner over 2f out - nudged along and kept on inside final furlong - promising,02:10.9,2m 10.00s (slow by 3.00s),rac_11637366
Turenne,11/21/2025,Catterick,Class 4,Hurdle,2007.2,4356.8,15.5f,Good,11 st 7 lb,2,7,"Indian River (IRE), Turenne (FR), Genbu (GB), Explode (FR), Stitching Wheel (IRE), Red Scarlet (IRE), Division Day (GB)",0.2,Indian River 11 st 0 lb,Turenne 11 st 7 lb,0.2,11 st 0 lb,2.88,3.25,2,,3,Jack Tudor,David Pipe,–,107,96,https://www.rp-assets.com/svg/5/4/2/363245.svg,Took keen hold - raced in second - led before 2 out - faced challenge before last - headed towards finish(op 2/1),03:44.6,3m 44.57s (slow by 4.57s),rac_11783967
,5/31/2025,Auteuil (FR),,Hurdle,3533.06,36115.7,17.5f,Very Soft,10 st 4 lb,5,8,"Its Now (FR), Shannon Maestro (FR), The Mighty Celt (IRE), Malin Du Mathan (FR), Turenne (FR), Vol Au Vent (FR), Popy (FR), Panthere Verte (FR)",5.75,Its Now 10 st 4 lb,Shannon Maestro 10 st 4 lb,4,10 st 4 lb,10.2,11,3,,3,Johnny Charron,D Cottin,–,104,–,https://www.rp-assets.com/svg/4/8/5/355584.svg,Held up towards rear - headway and in touch with leaders on outer approaching 5 out - outpaced on home turn - rallied and headway approaching last - no extra run in,04:04.4,4m 3.21s,rac_11659882
,5/7/2025,Compiegne (FR),,Hurdle,18247.93,18247.93,16f,Very Soft,10 st 8 lb,1,7,"Turenne (FR), Helios Du Luy (FR), Freckles (FR), Anaconda (FR), Mistik D'Engilbert (FR), Number Seven (FR), Ellington Eden (FR)",0,Turenne 10 st 8 lb,Helios Du Luy 10 st 6 lb,5,10 st 8 lb,2.7,2.7,2,,3,Johnny Charron,D Cottin,–,100,–,https://www.rp-assets.com/svg/4/8/5/355584.svg,,04:02.2,4m 2.25s,rac_11640343
